length_of_stay_days,pet_type,pet_age,size,shedding,coat_length,temperament,breed_type,adoption_fee,gender,is_mix,shots_up_to_date,spayed_neutered,hypoallergenic,housebroken,special_need,gets_along_with_cats,gets_along_with_dogs,gets_along_with_kids,courtesy_post,cross_post,litter,parent_of_litter,primary_breed,secondary_breed,third_breed,fourth_breed,bully_breed,popular_breed,bonded_pair,age_total_months,sentiment_score,record_type,subtype,had_medical
47,dog,senior,small,nan,nan,nan,nan,265,male,yes,yes,yes,not sure,not sure,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,147.0,0.0,surgery/procedures,dental prophylaxis,yes
30,dog,young,large,nan,nan,nan,nan,400,male,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,95.0,0.0,,,no
134,dog,senior,small,sheds a little,short,guards treats; needs to be muzzled for bath,purebreed,100,male,no,yes,yes,not sure,yes,not sure,yes,yes,not sure,no,no,no,no,shih tzu,,,,no,no,no,225.0,0.0,surgery/procedures,dental prophylaxis,yes
33,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,yes,not sure,not sure,yes,yes,yes,no,no,no,no,shih tzu,teddy bear,,,no,no,no,169.0,0.0,surgery/procedures,other,yes
67,dog,puppy,large,sheds a little,nan,nan,nan,575,male,no,yes,yes,no,not sure,yes,not sure,yes,not sure,no,no,no,no,doberman pinscher,,,,no,no,no,,0.0,surgery/procedures,other,yes
9,dog,puppy,small,sheds a little,nan,nan,nan,500,male,yes,yes,yes,no,not sure,not sure,yes,yes,yes,no,no,no,no,shih tzu,bichon frise,,,no,no,no,16.0,0.0,,,no
36,dog,adult,small,sheds a little,nan,nan,nan,295,male,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,79.0,0.0,,,no
48,dog,adult,small,nan,nan,nan,nan,350,male,yes,yes,yes,no,not sure,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,91.0,0.0,,,no
64,dog,senior,small,nan,nan,nan,nan,150,male,no,yes,yes,no,yes,not sure,yes,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
453,dog,senior,small,nan,nan,nan,nan,150,male,nan,yes,yes,no,yes,no,not sure,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,191.0,0.0,"surgery/procedures, medications, medications, medications","dental prophylaxis, other, other, other",yes
89,dog,adult,small,nan,nan,nan,nan,150,male,yes,yes,yes,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,terrier (unknown type,,,no,no,no,107.0,0.0,diagnosis,,yes
27,dog,adult,small,nan,nan,nan,nan,550,male,no,yes,yes,no,not sure,not sure,yes,yes,yes,yes,no,no,no,cocker spaniel,,,,no,no,yes,71.0,0.0,,,no
17,dog,adult,large,nan,nan,nan,nan,300,male,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,113.0,0.0,,,no
173,dog,adult,large,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,pointer,,,,no,no,no,102.0,0.0,"surgery/procedures, surgery/procedures, medications","dental prophylaxis, allergy",yes
25,dog,young,small,sheds a little,nan,nan,nan,425,male,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,bichon frise,,,,no,no,no,27.0,0.0,,,no
495,dog,adult,large,nan,nan,nan,nan,215,male,no,yes,yes,no,not sure,yes,no,yes,no,no,no,no,no,german shepherd dog,,,,no,no,no,129.0,0.0,,,no
11,dog,adult,medium,nan,nan,nan,nan,300,male,yes,yes,yes,no,yes,yes,not sure,yes,yes,yes,no,no,no,english bulldog,,,,no,no,no,127.0,0.0,,,no
0,dog,young,nan,nan,nan,nan,nan,400,male,yes,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,st. bernard,,,,no,no,no,94.0,0.0,,,no
22,dog,young,small,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,67.0,0.0,,,no
18,dog,senior,small,nan,nan,nan,nan,250,male,no,yes,yes,yes,yes,no,not sure,not sure,no,no,no,no,no,shih tzu,,,,no,no,no,179.0,0.0,,,no
117,dog,adult,medium,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,no,not sure,not sure,not sure,no,no,no,no,doberman pinscher,german shepherd dog,,,no,no,no,80.0,0.0,medications,,yes
31,dog,senior,small,nan,nan,nan,nan,200,male,nan,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,174.0,0.0,"diagnosis, medications, diagnosis",,yes
59,dog,young,medium,sheds a lot,short,nan,mixed,400,female,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,labrador retriever,,,,no,yes,no,110.0,0.0,,,no
34,dog,senior,small,sheds a little,nan,nan,nan,200,female,nan,yes,no,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,172.0,0.0,"diagnosis, surgery/procedures, diagnosis, medications",dental prophylaxis,yes
20,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,shepherds (all types),,,,no,no,no,34.0,0.0,,,no
84,dog,adult,small,nan,nan,nan,nan,350,female,no,yes,yes,no,not sure,not sure,yes,yes,no,no,no,no,no,pomeranian,,,,no,no,no,100.0,0.0,surgery/procedures,dental prophylaxis,yes
51,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,not sure,yes,yes,yes,yes,not sure,no,no,no,no,maltese,,,,no,no,no,142.0,0.0,,,no
6,dog,senior,medium,nan,nan,nan,nan,nan,female,no,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,border collie,,,,no,no,no,203.0,0.0,,,no
44,dog,adult,small,nan,nan,nan,nan,385,female,no,yes,yes,not sure,no,not sure,not sure,yes,not sure,no,no,no,no,papillon,,,,no,no,no,116.0,0.0,surgery/procedures,other,yes
55,dog,puppy,small,sheds a lot,nan,nan,nan,765,female,nan,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,australian shepherd,toy australian shepherd ,,,no,no,no,16.0,0.0,,,no
19,dog,adult,medium,nan,nan,good with dogs and cats,nan,nan,female,yes,yes,yes,not sure,not sure,not sure,yes,yes,not sure,no,no,no,no,australian cattle dog,,,,no,no,no,73.0,0.7,,,no
86,dog,young,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,yes,yes,not sure,yes,not sure,no,no,no,no,pointer,,,,no,no,no,91.0,0.0,,,no
303,dog,adult,large,nan,nan,nan,nan,300,female,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,german shepherd dog,,,,no,no,no,107.0,0.0,,,no
25,dog,young,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,yes,no,not sure,not sure,no,no,no,no,no,chihuahua,jack russell terrier,,,no,no,no,63.0,0.0,,,no
113,dog,puppy,medium,sheds a little,nan,nan,nan,400,female,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,,0.0,,,no
120,dog,puppy,medium,sheds a little,nan,nan,nan,400,male,yes,yes,yes,no,no,not sure,yes,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
5,dog,adult,small,nan,nan,nan,nan,365,female,yes,yes,yes,no,yes,not sure,no,not sure,no,no,no,no,no,chihuahua,,,,no,no,no,54.0,0.0,,,no
61,dog,young,small,nan,nan,nan,nan,400,male,no,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,jack russell terrier,,,,no,no,no,,0.0,,,no
40,dog,young,medium,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,yes,yes,yes,yes,no,no,no,catahoula leopard dog,,,,no,no,no,60.0,0.0,,,no
16,dog,puppy,small,no shedding,nan,nan,nan,715,female,yes,not sure,yes,not sure,not sure,no,not sure,not sure,not sure,no,no,no,no,chinese crested,shih tzu,,,no,no,no,32.0,0.0,,,no
0,dog,adult,small,nan,short,nan,purebreed,300,female,no,yes,yes,yes,not sure,yes,not sure,yes,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,174.0,0.0,,,no
17,dog,adult,small,sheds a little,nan,nan,nan,nan,female,no,yes,yes,no,not sure,not sure,not sure,yes,no,no,no,no,no,yorkshire terrier,,,,no,yes,no,110.0,0.0,"medications, surgery/procedures, medications",dental prophylaxis,yes
244,dog,adult,small,nan,nan,nan,nan,200,female,nan,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,chihuahua,,,,no,no,no,142.0,0.0,diagnosis,,yes
35,dog,adult,small,nan,nan,nan,nan,350,female,no,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,pomeranian,,,,no,no,no,117.0,0.0,,,no
29,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,golden retriever,,,,no,yes,no,90.0,0.0,,,no
46,dog,puppy,small,nan,nan,nan,nan,400,female,yes,yes,yes,not sure,not sure,not sure,not sure,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,,0.0,,,no
30,dog,young,small,no shedding,nan,nan,nan,830,male,nan,yes,yes,yes,not sure,no,not sure,yes,yes,no,no,no,no,poodle (miniature),,,,no,no,yes,66.0,0.0,,,no
72,dog,young,large,nan,nan,nan,nan,415,male,yes,yes,yes,no,no,no,not sure,yes,yes,no,no,no,no,boxer,,,,no,no,no,35.0,0.0,medications,,yes
15,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,yes,yes,not sure,no,yes,yes,no,no,no,no,maltese,,,,no,no,no,172.0,0.0,diagnosis,,yes
35,dog,senior,small,nan,nan,nan,nan,300,male,no,yes,yes,yes,not sure,not sure,not sure,yes,not sure,no,no,no,no,maltese,,,,no,no,no,,0.0,,,no
46,dog,young,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,not sure,no,no,yes,not sure,no,no,no,no,other,queensland heeler ,,,no,no,no,41.0,0.0,diagnosis,,yes
23,dog,puppy,large,sheds a little,nan,nan,nan,465,female,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,german shepherd dog,pit bull terrier,,,no,no,no,,0.0,,,no
104,dog,senior,large,nan,nan,nan,nan,300,male,yes,yes,yes,no,yes,no,not sure,yes,no,no,no,no,no,german shepherd dog,shar pei,,,no,no,no,94.0,0.0,,,no
18,dog,puppy,medium,sheds a little,nan,nan,nan,465,male,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
15,dog,puppy,medium,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
17,dog,puppy,medium,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
14,dog,puppy,medium,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
60,dog,puppy,medium,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
91,dog,puppy,medium,sheds a little,nan,nan,nan,465,male,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,catahoula leopard dog,labrador retriever,,,no,yes,no,14.0,0.0,,,no
31,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,yes,yes,not sure,not sure,yes,yes,no,no,no,no,yorkshire terrier,,,,no,yes,no,,0.0,,,no
16,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,yes,yes,yes,yes,no,no,no,german shepherd dog,,,,no,no,no,75.0,0.0,,,no
49,dog,adult,medium,nan,nan,nan,nan,465,male,no,not sure,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,poodles (all types),,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
229,dog,young,large,nan,nan,nan,nan,415,male,yes,yes,yes,no,yes,not sure,no,not sure,yes,no,no,no,no,boxer,,,,no,no,no,38.0,0.0,medications,,yes
43,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,poodle (miniature),,,,no,no,no,153.0,0.0,,,no
548,dog,adult,large,nan,nan,nan,nan,215,male,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,boxer,staffordshire bull terrier,,,yes,no,no,68.0,0.0,,,no
18,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,no,yes,no,not sure,yes,no,no,no,no,no,chihuahua,dachshund,,,no,yes,no,147.0,0.0,surgery/procedures,dental prophylaxis,yes
41,dog,puppy,medium,nan,nan,timid,nan,450,female,nan,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,no,no,pointer,,,,no,no,no,41.0,0.0,diagnosis,,yes
54,dog,adult,small,nan,nan,nan,nan,200,male,nan,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,shih tzu,,,,no,no,no,143.0,0.0,surgery/procedures,other,yes
26,dog,adult,small,nan,nan,nan,nan,350,male,yes,yes,yes,no,no,not sure,yes,yes,not sure,no,no,no,no,yorkshire terrier,chihuahua,,,no,yes,no,,0.0,,,no
57,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,chihuahua,chuggle,,,no,no,no,143.0,0.0,,,no
0,dog,puppy,small,not available,short,nan,mixed,375,male,yes,yes,yes,not sure,not sure,not sure,yes,yes,yes,no,no,no,no,dachshund,maltese,,,no,yes,no,98.0,0.0,,,no
10,dog,adult,small,sheds a little,nan,nan,nan,500,female,yes,yes,yes,not sure,yes,not sure,not sure,yes,not sure,no,no,no,no,bichon frise,shih tzu,,,no,no,no,53.0,0.0,,,no
22,dog,senior,small,nan,nan,nan,nan,265,male,yes,yes,not sure,not sure,yes,not sure,not sure,not sure,not sure,no,no,no,no,shih tzu,yorkie,,,no,no,no,144.0,0.0,medications,,yes
20,dog,senior,small,no shedding,nan,nan,nan,265,male,yes,yes,yes,not sure,yes,no,not sure,yes,no,no,no,no,no,maltese,yorkie,,,no,no,no,147.0,0.0,surgery/procedures,dental prophylaxis,yes
6,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,not sure,no,no,not sure,not sure,yes,yes,no,no,no,no,australian shepherd,boxer,,,no,no,no,52.0,0.0,diagnosis,,yes
14,dog,young,small,nan,nan,nan,nan,400,male,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,pomeranian,,,no,no,no,96.0,0.0,,,no
7,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,no,not sure,yes,yes,yes,no,no,no,german shepherd dog,,,,no,no,no,118.0,0.0,,,no
43,dog,adult,small,nan,nan,nan,nan,400,male,no,yes,yes,yes,yes,no,not sure,not sure,no,yes,no,no,no,shih tzu,,,,no,no,no,75.0,0.0,,,no
32,dog,adult,small,nan,nan,nan,nan,300,female,yes,not sure,yes,not sure,yes,not sure,yes,yes,no,no,no,no,no,chihuahua,rat terrier,,,no,no,no,104.0,0.0,,,no
20,dog,senior,small,nan,nan,nan,nan,250,female,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yorkshire terrier,maltese,,,no,yes,no,,0.0,,,no
30,dog,adult,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,not sure,no,not sure,yes,not sure,no,no,no,no,boxer,shepherds (all types),,,no,no,no,84.0,0.0,,,no
19,dog,puppy,small,nan,nan,nan,nan,550,female,no,yes,yes,no,no,not sure,not sure,not sure,no,no,no,no,no,chihuahua,,,,no,no,no,42.0,0.0,,,no
96,dog,young,small,nan,short,nan,purebreed,400,female,no,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,shih tzu,,,,no,no,no,141.0,0.0,"surgery/procedures, medications",dental prophylaxis,yes
30,dog,young,large,sheds a little,medium,nan,mixed,300,female,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,other,pointer,,,no,no,no,112.0,0.0,,,no
53,dog,puppy,small,nan,short,nan,purebreed,450,male,no,yes,yes,yes,no,not sure,not sure,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,98.0,0.0,,,no
23,dog,senior,large,nan,nan,nan,nan,250,male,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,goldendoodle,,,,no,no,no,151.0,0.0,,,no
19,dog,adult,small,nan,nan,nan,nan,425,female,yes,yes,yes,yes,not sure,not sure,not sure,yes,no,no,no,no,no,maltese,yorkie,,,no,no,no,,0.0,,,no
70,dog,young,small,no shedding,nan,nan,nan,565,male,yes,yes,yes,yes,not sure,not sure,yes,yes,yes,no,no,no,no,silky terrier,poodles (all types),,,no,no,no,15.0,0.0,medications,,yes
19,dog,puppy,small,sheds a little,nan,nan,nan,565,male,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,maltese,poodle (miniature),,,no,no,no,18.0,0.0,,,no
68,dog,adult,small,nan,short,nan,purebreed,350,male,no,yes,yes,yes,no,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,179.0,0.0,surgery/procedures,dental prophylaxis,yes
3,dog,adult,small,nan,nan,nan,nan,425,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,shih tzu,,,,no,no,no,66.0,0.0,,,no
34,dog,young,medium,nan,nan,nan,nan,450,male,yes,no,yes,not sure,yes,not sure,not sure,yes,yes,yes,no,no,no,australian shepherd,labrador retriever,,,no,yes,no,47.0,0.0,,,no
18,dog,adult,small,nan,nan,nan,nan,450,male,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,beagle,puggle,,,no,yes,no,80.0,0.0,,,no
28,dog,young,small,nan,nan,nan,nan,450,female,yes,yes,yes,not sure,yes,not sure,not sure,yes,no,no,no,no,no,yorkshire terrier,terrier (unknown type,,,no,yes,no,54.0,0.0,medications,,yes
22,dog,puppy,small,nan,nan,nan,nan,400,female,no,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,85.0,0.0,,,no
72,dog,senior,small,nan,nan,nan,nan,200,male,yes,yes,yes,not sure,yes,not sure,not sure,not sure,no,no,no,no,no,chihuahua,,,,no,no,no,159.0,0.0,"surgery/procedures, medications",dental prophylaxis,yes
108,dog,adult,small,nan,nan,nan,nan,nan,male,no,yes,yes,no,yes,not sure,no,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
58,dog,senior,medium,nan,nan,nan,nan,250,male,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,shepherds (all types),,,,no,no,no,188.0,0.0,,,no
125,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,yes,not sure,not sure,no,no,no,no,no,german shepherd dog,,,,no,no,no,71.0,0.0,,,no
18,dog,puppy,medium,nan,nan,nan,nan,450,nan,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,border collie,,,,no,no,no,67.0,0.0,,,no
14,dog,adult,small,nan,nan,nan,nan,430,female,no,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,yes,129.0,0.0,,,no
66,dog,adult,small,nan,nan,nan,nan,300,female,yes,yes,not sure,no,yes,no,no,no,no,no,no,no,no,chihuahua,,,,no,no,no,137.0,0.0,,,no
1047,dog,puppy,small,nan,nan,nan,nan,375,female,yes,yes,yes,yes,no,not sure,not sure,yes,yes,no,no,no,no,shih tzu,,,,no,no,no,91.0,0.0,,,no
24,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,border collie,,,,no,no,no,,0.0,,,no
34,dog,adult,small,nan,nan,nan,nan,300,male,no,yes,yes,no,not sure,yes,yes,yes,yes,no,no,no,no,pomeranian,,,,no,no,no,153.0,0.0,,,no
57,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,boxer,pit bull terrier,,,no,no,no,25.0,0.0,diagnosis,,yes
19,dog,puppy,small,nan,nan,nan,nan,425,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,no,no,chihuahua,dachshund,,,no,yes,no,87.0,0.0,,,no
28,dog,adult,medium,nan,nan,nan,nan,450,male,no,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,no,no,shiba inu,,,,no,no,no,68.0,0.0,medications,,yes
183,dog,young,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,yes,yes,yes,no,no,no,no,bulldog,catahoula leopard dog,,,no,yes,no,28.0,0.0,,,no
5,dog,adult,large,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,no,not sure,yes,not sure,no,no,no,no,pit bull terrier,,,,no,no,no,94.0,0.0,,,no
74,dog,young,small,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,miniature pinscher,,,,no,no,no,27.0,0.0,,,no
44,dog,adult,small,nan,nan,nan,nan,300,female,no,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,lhasa apso,,,,no,no,no,107.0,0.0,,,no
22,dog,puppy,small,sheds a little,nan,nan,nan,550,female,yes,yes,yes,yes,no,no,not sure,yes,no,no,no,no,no,maltese,poodles (all types),,,no,no,no,22.0,0.0,,,no
2,dog,senior,medium,sheds a little,short,nan,purebreed,100,female,no,not sure,yes,no,yes,not sure,not sure,yes,no,yes,no,no,no,english bulldog,,,,no,no,no,238.0,0.0,surgery/procedures,medications,yes
50,dog,young,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,pit bull terrier,,,,no,no,no,57.0,0.0,,,no
21,dog,puppy,small,no shedding,nan,nan,nan,715,male,yes,not sure,yes,no,not sure,no,not sure,not sure,not sure,no,no,no,no,chinese crested,shih tzu,,,no,no,no,32.0,0.0,,,no
14,dog,young,small,sheds a little,nan,nan,nan,1300,male,yes,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,french bulldog,boston terrier,,,yes,yes,yes,28.0,0.0,medications,,yes
22,dog,adult,small,sheds a little,nan,nan,nan,350,male,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,91.0,0.0,,,no
10,dog,young,small,nan,nan,nan,nan,450,female,yes,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,55.0,0.0,,,no
561,dog,young,medium,nan,nan,nan,nan,150,male,yes,yes,yes,no,no,not sure,no,yes,not sure,no,no,no,no,pointer,collie,,,no,no,no,79.0,0.0,"surgery/procedures, medications, medications, medications","medications, other, other, other",yes
31,dog,senior,small,nan,nan,nan,nan,315,female,no,yes,yes,not sure,not sure,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,130.0,0.0,surgery/procedures,dental prophylaxis,yes
14,dog,puppy,medium,nan,nan,nan,nan,500,female,no,yes,yes,no,yes,not sure,no,no,not sure,no,no,no,no,english bulldog,,,,no,no,no,79.0,0.0,,,no
111,dog,adult,small,nan,nan,nan,nan,365,male,no,yes,yes,not sure,yes,not sure,not sure,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,89.0,0.0,,,no
17,dog,puppy,small,sheds a little,nan,nan,nan,715,male,yes,not sure,not sure,no,not sure,no,not sure,not sure,not sure,no,no,no,no,chinese crested,shih tzu,,,no,no,no,32.0,0.0,,,no
520,dog,adult,small,no shedding,nan,nan,nan,565,male,yes,yes,yes,no,no,not sure,yes,yes,not sure,no,no,no,no,yorkshire terrier,poodle (miniature),,,no,yes,no,66.0,0.0,,,no
155,dog,young,medium,nan,nan,nan,nan,250,female,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,boxer,staffordshire bull terrier,,,yes,no,no,54.0,0.0,,,no
8,dog,puppy,medium,nan,nan,nan,nan,550,female,yes,yes,yes,yes,no,no,not sure,yes,yes,no,no,no,no,goldendoodle,,,,no,no,no,75.0,0.0,,,no
11,dog,adult,small,nan,nan,nan,nan,400,female,no,yes,no,yes,no,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,108.0,0.0,,,no
14,dog,adult,small,nan,nan,nan,nan,430,female,no,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,yes,129.0,0.0,,,no
0,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,no,yes,no,no,no,no,no,pomeranian,,,,no,no,no,81.0,0.0,surgery/procedures,dental prophylaxis,yes
35,dog,adult,small,nan,nan,nan,nan,400,male,no,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,shiba inu,,,,no,no,no,106.0,0.0,,,no
148,dog,young,small,sheds a little,nan,nan,nan,375,male,nan,yes,yes,no,yes,no,yes,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,22.0,0.0,,,no
22,dog,puppy,small,sheds a little,short,nan,mixed,400,male,yes,yes,not sure,no,not sure,not sure,not sure,yes,not sure,no,no,no,no,other,beagle,,,no,yes,no,108.0,0.0,,,no
14,dog,adult,small,no shedding,nan,nan,nan,375,female,no,yes,yes,yes,not sure,yes,not sure,not sure,not sure,no,no,no,no,maltese,,,,no,no,no,108.0,0.0,,,no
29,dog,puppy,large,sheds a little,nan,nan,nan,500,male,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,german shepherd dog,mastiff,,,no,no,no,14.0,0.0,,,no
27,dog,puppy,large,sheds a little,nan,nan,nan,500,male,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,german shepherd dog,mastiff,,,no,no,no,14.0,0.0,,,no
29,dog,puppy,large,sheds a little,nan,nan,nan,500,female,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,yes,no,german shepherd dog,mastiff,,,no,no,no,14.0,0.0,,,no
54,dog,adult,large,sheds a little,nan,nan,nan,375,male,yes,yes,yes,no,yes,not sure,not sure,yes,yes,yes,no,no,no,australian shepherd,corgi,,,no,no,no,66.0,0.0,,,no
19,dog,senior,small,nan,nan,nan,nan,150,female,yes,yes,yes,not sure,yes,not sure,not sure,not sure,not sure,no,no,yes,no,schnauzer (miniature),,,,no,no,no,,0.0,,,no
56,dog,adult,medium,nan,nan,nan,nan,350,female,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,american bulldog,,,,yes,no,no,73.0,0.0,diagnosis,,yes
160,dog,puppy,large,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,not sure,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,71.0,0.0,,,no
32,dog,adult,small,no shedding,nan,nan,nan,800,male,no,yes,yes,yes,not sure,no,yes,yes,yes,no,no,no,no,yorkshire terrier,,,,no,yes,yes,54.0,0.0,,,no
26,dog,puppy,medium,sheds a little,nan,nan,nan,nan,nan,nan,no,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,australian shepherd,,,,no,no,no,,0.0,,,no
